task_id,task_length_MI,cpu_demand,memory_demand_GB,deadline_ms,qos_level,task_type,migration_size_MB,migration_time_ms,migration_energy_J,network_hops
T64,6521,0.31,4.48,1213,Medium,Data,123.43,126.97,63.56,5
T65,17996,0.76,7.63,438,High,Compute,23.34,63.6,51.35,6
T66,10032,0.72,4.88,671,High,Compute,74.97,88.29,67.15,8
T67,2262,0.32,0.73,164,High,Latency,158.23,131.85,5.64,9
T68,10050,0.74,3.78,723,High,Compute,180.76,52.62,4.46,5
T69,7388,0.31,1.07,1384,Medium,Data,109.2,104.66,29.08,8
T70,16056,0.8,3.31,460,High,Compute,175.89,112.71,21.05,8
T71,12805,0.89,7.31,743,High,Compute,166.53,160.39,58.29,1
T72,4868,0.6,3.97,1370,Medium,Data,28.85,51.2,69.46,7
T73,8429,0.48,3.05,1129,Medium,Data,130.25,139.49,18.47,9
T74,8824,0.67,3.12,658,High,Compute,131.49,145.02,52.22,8
T75,4588,0.22,2.92,276,High,Latency,60.93,57.53,2.37,2
T76,8139,0.6,1.7,1289,Medium,Data,7.34,76.56,9.16,4
T77,3849,0.51,1.62,959,Medium,Data,185.18,60.15,30.6,3
T78,7876,0.37,3.15,1128,Medium,Data,54.27,35.48,17.06,3
T79,2380,0.23,2.69,222,High,Latency,70.68,58.9,58.63,5
T80,9218,0.89,7.17,920,High,Compute,82.06,180.85,22.33,7
T81,17752,0.77,2.52,523,High,Compute,103.46,179.6,69.76,9
T82,13370,0.82,4.98,853,High,Compute,14.52,70.73,32.81,7
T83,2711,0.4,0.69,180,High,Latency,12.54,70.58,63.82,9
T84,17516,0.74,5.55,722,High,Compute,142.07,171.78,41.57,5
T85,14183,0.77,3.6,661,High,Compute,99.2,189.45,32.69,6
T86,5383,0.5,4.4,1370,Medium,Data,161.13,145.92,63.69,4
T87,14924,0.85,6.18,569,High,Compute,107.18,36.31,75.75,8
T88,11738,0.83,2.95,956,High,Compute,127.21,156.73,23.19,5
T89,2054,0.45,0.82,257,High,Latency,199.51,135.14,73.93,5
T90,3129,0.45,2.58,111,High,Latency,149.11,97.96,48.61,4
T91,13343,0.63,3.96,632,High,Compute,106.24,91.19,78.48,1
T92,7795,0.3,4.27,1125,Medium,Data,135.03,101.13,38.98,5
T93,19718,0.76,7.78,811,High,Compute,25.86,154.68,73.61,9
T94,4245,0.53,4.16,1283,Medium,Data,82.81,52.75,29.5,9
T95,9040,0.83,6.25,421,High,Compute,72.01,31.76,6.12,1
T96,9353,0.56,4.89,1084,Medium,Data,98.03,187.57,24.57,3
T97,3762,0.34,4.03,806,Medium,Data,5.37,39.12,47.03,8
T98,19296,0.7,4.93,858,High,Compute,100.78,138.99,13.38,8
T99,6609,0.35,2.87,1315,Medium,Data,148.16,34.91,19.81,7
T100,9540,0.56,3.11,956,Medium,Data,129.91,102.56,2.36,5
T101,9823,0.62,6.08,421,High,Compute,87.31,74.92,9.34,3
T102,11778,0.89,2.91,420,High,Compute,41.64,117.41,5.95,9
T103,1868,0.39,1.49,356,High,Latency,20.41,121.89,16.56,1
T104,8933,0.67,3.28,923,High,Compute,152.35,66.51,74.79,4
T105,9635,0.44,4.87,1229,Medium,Data,94.36,147.04,35.8,8
T106,11676,0.83,6.63,961,High,Compute,16.31,189.97,76.24,5
T107,9530,0.54,2.18,1335,Medium,Data,193.6,135.71,72.59,3
T108,3946,0.26,1.66,321,High,Latency,99.23,182.65,27.16,2
T109,19536,0.78,3.49,920,High,Compute,32.72,50.15,49.22,7
T110,17208,0.65,5.91,900,High,Compute,19.38,177.11,21.65,5
T111,13463,0.73,7.91,471,High,Compute,31.48,135.23,78.27,3
T112,5013,0.42,2.92,1406,Medium,Data,150.28,32.43,20.71,1
T113,9154,0.51,4.44,901,Medium,Data,149.98,123.22,76.42,2
T114,1778,0.34,0.76,175,High,Latency,180.86,56.56,45.74,1
T115,2695,0.21,1.71,191,High,Latency,19.18,45.68,60.19,9
T116,3713,0.53,4.76,801,Medium,Data,124.28,52.5,51.85,8
T117,8864,0.41,1.13,915,Medium,Data,189.57,53.91,15.33,3
T118,11174,0.64,5.41,521,High,Compute,29.04,98.79,75.99,3
T119,4041,0.21,2.18,222,High,Latency,122.19,31.23,63.63,5
T120,14917,0.78,5.68,952,High,Compute,169.55,184.93,39.89,8
T121,8383,0.58,3.5,883,Medium,Data,59.35,27.76,23.82,3
T122,16442,0.75,5.96,607,High,Compute,193.91,137.03,35.23,3
T123,6385,0.54,2.92,926,Medium,Data,171.69,176.83,53.56,3
T124,7969,0.43,3.9,811,Medium,Data,15.84,146.23,9.79,9
T125,19148,0.74,5.69,546,High,Compute,149.07,114.14,9.49,1
T126,4427,0.42,2.68,282,High,Latency,132.81,115.54,24.84,4
T127,15979,0.77,6.32,948,High,Compute,100.53,113.23,23.84,5
T128,3920,0.35,0.7,342,High,Latency,37.93,151.67,66.22,7
T129,9236,0.43,1.81,1131,Medium,Data,128.04,89.46,32.91,2
T130,8158,0.72,7.08,915,High,Compute,30.0,28.91,65.72,9
T131,6453,0.6,1.16,1488,Medium,Data,191.36,88.36,66.01,6
T132,9563,0.31,2.58,1377,Medium,Data,81.99,108.52,36.31,8
T133,5979,0.43,2.11,1170,Medium,Data,180.61,158.23,63.33,7
T134,12732,0.66,5.74,951,High,Compute,43.79,85.45,7.56,6
T135,4808,0.24,2.29,339,High,Latency,118.01,79.31,45.73,2
T136,6369,0.37,4.89,1174,Medium,Data,57.37,22.27,16.23,8
T137,7005,0.45,1.99,1180,Medium,Data,72.25,48.75,13.43,9
T138,7599,0.47,3.65,944,Medium,Data,113.83,170.1,16.29,5
T139,18232,0.72,7.15,660,High,Compute,162.68,117.69,20.48,3
T140,13543,0.78,4.38,702,High,Compute,81.12,97.42,8.44,3
T141,11081,0.62,3.02,760,High,Compute,198.76,44.84,57.44,1
T142,8895,0.49,3.83,1375,Medium,Data,104.9,178.62,79.15,6
T143,17499,0.61,6.42,603,High,Compute,119.06,26.37,68.19,5
T144,6568,0.51,2.79,1166,Medium,Data,184.71,184.16,73.8,1
T145,1619,0.36,0.59,229,High,Latency,193.5,145.38,34.69,3
T146,17508,0.88,2.24,518,High,Compute,193.87,187.67,34.12,2
T147,18724,0.88,3.9,605,High,Compute,157.93,62.07,33.33,3
T148,3275,0.6,4.86,925,Medium,Data,150.8,180.22,69.28,8
T149,4377,0.49,1.95,283,High,Latency,104.6,111.02,65.95,2
T150,6249,0.4,3.13,950,Medium,Data,50.0,135.99,64.19,2
T151,9969,0.66,6.04,740,High,Compute,33.65,74.97,72.92,2
T152,17991,0.65,3.41,894,High,Compute,165.18,73.61,57.06,9
T153,13238,0.88,6.1,513,High,Compute,100.53,116.7,34.42,1
T154,15705,0.86,5.42,987,High,Compute,14.51,97.89,16.56,7
T155,12440,0.81,6.06,546,High,Compute,179.01,19.78,43.12,5
T156,2677,0.32,2.13,189,High,Latency,141.98,150.27,53.3,7
T157,12033,0.9,2.29,984,High,Compute,174.39,89.24,27.5,8
T158,2112,0.46,2.46,176,High,Latency,68.53,22.26,52.8,9
T159,15114,0.86,4.42,893,High,Compute,185.54,157.03,32.75,3
T160,1018,0.44,2.41,378,High,Latency,171.76,119.66,42.42,9
T161,8450,0.41,2.19,1254,Medium,Data,127.9,29.28,22.46,9
T162,11726,0.79,5.66,542,High,Compute,189.84,10.72,78.19,8
T163,5875,0.46,3.39,1296,Medium,Data,73.17,133.94,71.6,2
T164,9245,0.32,3.41,1421,Medium,Data,52.85,156.47,64.74,4
T165,3961,0.44,2.52,1127,Medium,Data,13.18,48.78,17.65,8
T166,5501,0.57,4.26,1464,Medium,Data,137.53,20.98,7.48,2
T167,12399,0.77,5.2,442,High,Compute,129.61,176.72,42.92,1
T168,8445,0.52,3.86,1226,Medium,Data,179.92,195.11,20.85,1
T169,8406,0.73,7.38,516,High,Compute,91.78,159.17,4.4,3
T170,3840,0.4,1.45,376,High,Latency,186.07,64.43,23.75,3
T171,7882,0.33,2.94,1172,Medium,Data,181.27,41.32,57.56,7
T172,11610,0.88,5.19,543,High,Compute,152.99,165.81,73.99,6
T173,17873,0.72,7.86,489,High,Compute,197.02,50.98,57.72,1
T174,11530,0.64,7.16,438,High,Compute,63.46,165.89,6.15,7
T175,6654,0.39,4.17,1244,Medium,Data,109.65,129.46,65.18,1
T176,16227,0.73,2.52,784,High,Compute,44.97,195.12,56.07,2
T177,17900,0.79,7.71,517,High,Compute,100.81,22.72,71.43,9
T178,4243,0.37,1.85,809,Medium,Data,102.29,50.18,15.5,5
T179,13752,0.85,7.4,448,High,Compute,83.16,72.99,78.06,1
T180,9316,0.69,6.39,459,High,Compute,78.87,131.98,46.58,9
T181,10000,0.33,3.5,1238,Medium,Data,130.72,112.15,53.07,4
T182,9830,0.37,4.48,1472,Medium,Data,198.69,144.76,74.37,2
T183,16853,0.61,5.85,854,High,Compute,193.77,54.1,73.53,9
T184,3649,0.38,3.53,1240,Medium,Data,69.33,131.59,43.1,7
T185,3769,0.38,3.39,1457,Medium,Data,5.9,131.53,69.84,8
T186,9780,0.52,3.77,1079,Medium,Data,90.3,190.47,31.88,5
T187,19794,0.78,4.02,687,High,Compute,92.81,138.43,16.32,3
T188,13101,0.68,5.87,472,High,Compute,92.72,171.0,25.55,8
T189,18106,0.7,5.7,960,High,Compute,133.63,157.27,18.62,9
T190,1955,0.44,1.08,248,High,Latency,50.07,86.55,31.11,4
T191,9735,0.8,5.2,780,High,Compute,171.45,83.71,73.29,6
T192,3341,0.5,4.98,1413,Medium,Data,135.24,193.66,32.44,3
T193,5401,0.43,2.33,1461,Medium,Data,66.96,120.57,75.16,5
T194,6619,0.59,3.54,1102,Medium,Data,94.48,134.47,67.89,2
T195,8207,0.72,4.54,454,High,Compute,54.48,86.35,52.18,9
T196,7752,0.39,4.92,1314,Medium,Data,123.06,173.49,73.9,8
T197,1236,0.24,2.94,217,High,Latency,90.35,127.45,8.83,6
T198,4943,0.43,1.11,385,High,Latency,186.51,180.35,28.32,5
T199,7037,0.38,4.15,960,Medium,Data,85.79,38.06,25.66,4
T200,5507,0.53,3.83,1453,Medium,Data,103.56,124.31,2.46,5
T201,13782,0.68,4.16,740,High,Compute,100.37,51.58,16.44,9
T202,10496,0.69,4.38,806,High,Compute,62.3,62.47,69.81,9
T203,4537,0.35,2.8,242,High,Latency,101.61,191.04,50.75,9
T204,4172,0.32,1.75,148,High,Latency,89.09,13.79,52.4,3
T205,16785,0.79,6.05,861,High,Compute,67.66,100.16,59.39,5
T206,4919,0.26,2.55,262,High,Latency,44.99,97.61,37.97,1
T207,12225,0.67,7.74,665,High,Compute,44.92,177.06,36.87,7
T208,1792,0.34,1.28,194,High,Latency,84.58,43.76,44.82,9
T209,4133,0.57,4.32,1235,Medium,Data,193.18,96.19,51.33,5
T210,4960,0.55,3.67,1281,Medium,Data,34.37,97.63,44.5,6
T211,15137,0.75,3.4,572,High,Compute,76.48,196.22,44.3,9
T212,7223,0.43,2.25,1331,Medium,Data,42.37,36.92,37.33,1
T213,8947,0.56,1.0,842,Medium,Data,91.78,197.8,54.27,4
T214,8179,0.41,2.55,1316,Medium,Data,190.92,40.77,60.04,2
T215,9921,0.36,2.94,1489,Medium,Data,179.35,44.45,37.78,3
T216,13175,0.69,4.58,498,High,Compute,105.24,167.75,20.05,5
T217,9179,0.69,2.61,479,High,Compute,84.65,137.42,10.2,7
T218,3608,0.45,4.99,900,Medium,Data,10.74,153.14,77.83,6
T219,3819,0.35,3.62,1221,Medium,Data,7.82,134.15,40.46,2
T220,4508,0.57,2.8,1282,Medium,Data,140.46,197.71,41.8,6
T221,18331,0.74,3.06,997,High,Compute,147.11,132.35,14.12,7
T222,2206,0.32,1.7,345,High,Latency,116.68,115.99,66.43,5
T223,5708,0.53,1.55,1222,Medium,Data,69.65,52.38,23.57,5
T224,6084,0.3,1.96,1012,Medium,Data,97.65,20.89,58.04,4
T225,12268,0.61,4.23,896,High,Compute,43.88,113.52,77.95,2
T226,7798,0.45,2.06,1428,Medium,Data,16.99,194.71,9.54,9
T227,8827,0.56,1.97,1393,Medium,Data,178.89,48.89,68.99,3
T228,8864,0.48,4.44,1353,Medium,Data,96.94,37.19,57.51,5
T229,5444,0.34,1.41,919,Medium,Data,192.94,37.64,78.01,3
T230,14272,0.84,2.46,496,High,Compute,47.62,94.39,79.5,6
T231,4897,0.28,2.45,383,High,Latency,143.87,187.3,79.34,3
T232,5849,0.42,2.8,878,Medium,Data,157.75,52.59,25.63,5
T233,4926,0.36,0.88,186,High,Latency,104.23,33.26,25.53,5
T234,7940,0.31,3.98,1184,Medium,Data,178.18,72.08,46.2,9
T235,16599,0.63,2.21,547,High,Compute,43.32,166.2,8.28,7
T236,6897,0.44,4.97,1235,Medium,Data,68.27,82.06,63.07,7
T237,8510,0.54,2.42,1241,Medium,Data,160.67,191.22,64.05,4
T238,14493,0.85,2.41,537,High,Compute,190.26,137.44,34.01,7
T239,14511,0.89,3.77,759,High,Compute,133.11,166.38,31.22,5
T240,6009,0.5,1.04,1181,Medium,Data,108.52,192.66,75.18,7
T241,17832,0.79,5.18,589,High,Compute,47.71,25.23,57.28,5
T242,2801,0.44,1.23,357,High,Latency,65.25,18.28,26.12,2
T243,4716,0.58,3.08,1087,Medium,Data,116.4,183.71,4.29,6
T244,3522,0.31,1.44,1201,Medium,Data,50.93,55.45,55.57,2
T245,13784,0.71,5.3,813,High,Compute,22.46,54.14,19.32,8
T246,4243,0.26,2.72,221,High,Latency,76.59,137.85,20.48,3
T247,4702,0.46,1.15,117,High,Latency,113.76,140.38,20.62,2
T248,5708,0.59,3.99,1037,Medium,Data,153.79,170.63,66.03,1
T249,9379,0.32,2.28,1461,Medium,Data,134.64,95.96,14.29,6
T250,3581,0.36,2.32,357,High,Latency,93.08,40.23,26.16,9
T251,12558,0.63,7.79,862,High,Compute,145.39,46.55,66.11,5
T252,7183,0.4,2.65,1220,Medium,Data,155.07,196.23,79.85,8
T253,5743,0.48,1.42,822,Medium,Data,80.31,68.1,48.39,9
T254,8926,0.47,4.51,1028,Medium,Data,162.68,38.25,31.9,6
T255,16553,0.77,6.87,660,High,Compute,81.11,108.04,41.53,9
T256,2923,0.23,1.5,109,High,Latency,148.16,154.79,25.53,1
T257,9445,0.48,1.75,911,Medium,Data,138.61,163.05,31.52,5
T258,5547,0.46,4.39,1113,Medium,Data,31.12,45.05,61.76,3
T259,18448,0.6,6.5,836,High,Compute,166.34,157.15,54.2,4
T260,10634,0.83,7.05,469,High,Compute,67.21,81.07,26.53,6
T261,2124,0.24,1.46,231,High,Latency,119.44,68.83,55.46,3
T262,9679,0.37,1.55,1268,Medium,Data,73.06,86.97,57.31,3
T263,12966,0.6,5.72,587,High,Compute,166.57,71.18,25.3,3
T264,5320,0.48,2.92,1325,Medium,Data,42.95,121.03,48.04,2
T265,7431,0.37,3.81,1335,Medium,Data,120.56,36.4,38.56,1
T266,3593,0.48,1.09,1118,Medium,Data,35.97,190.04,66.29,7
T267,8663,0.7,6.71,516,High,Compute,40.02,50.57,3.32,3
T268,5066,0.43,1.59,982,Medium,Data,162.37,80.27,46.25,7
T269,5528,0.33,1.88,1275,Medium,Data,31.32,90.29,9.1,8
T270,8066,0.52,2.2,960,Medium,Data,171.11,160.58,36.53,8
T271,4283,0.45,1.71,1198,Medium,Data,43.21,85.22,17.4,7
T272,5125,0.52,3.96,1401,Medium,Data,92.49,17.5,23.45,3
T273,8624,0.47,4.92,1418,Medium,Data,174.47,40.84,70.94,2
T274,14397,0.78,6.19,962,High,Compute,64.94,81.28,58.58,7
T275,2449,0.46,1.06,168,High,Latency,89.0,137.03,26.04,9
T276,2956,0.34,1.59,291,High,Latency,80.67,125.29,53.24,6
T277,4625,0.32,3.91,1440,Medium,Data,197.67,141.31,74.66,9
T278,5659,0.53,1.64,1163,Medium,Data,97.55,48.05,27.28,3
T279,15710,0.88,4.83,807,High,Compute,21.67,147.27,15.49,8
T280,18653,0.61,3.65,619,High,Compute,54.89,43.6,44.49,6
T281,3905,0.38,4.04,1417,Medium,Data,49.31,145.26,59.17,1
T282,1581,0.22,1.72,283,High,Latency,51.81,168.1,38.08,2
T283,16017,0.87,2.84,595,High,Compute,72.79,58.2,20.98,2
T284,19333,0.87,2.13,602,High,Compute,166.94,54.13,7.18,5
T285,4726,0.46,1.48,253,High,Latency,13.91,158.46,5.06,5
T286,7991,0.49,2.98,820,Medium,Data,141.71,101.47,21.9,6
T287,11670,0.66,5.39,770,High,Compute,18.97,65.59,5.46,6
T288,1383,0.49,0.96,260,High,Latency,12.63,16.95,61.22,8
T289,15875,0.73,2.53,997,High,Compute,97.07,39.65,2.6,1
T290,7688,0.59,1.91,827,Medium,Data,151.54,192.48,35.62,6
T291,8800,0.54,3.2,1409,Medium,Data,103.87,105.39,49.6,7
T292,18849,0.75,2.99,913,High,Compute,148.16,159.14,52.67,9
T293,8176,0.5,2.85,1234,Medium,Data,51.72,92.54,18.4,6
T294,6157,0.39,4.15,1093,Medium,Data,92.08,165.42,36.36,4
T295,4721,0.49,2.48,148,High,Latency,136.77,50.78,79.19,8
T296,10324,0.65,3.98,613,High,Compute,112.74,177.33,73.8,9
T297,18983,0.86,7.28,780,High,Compute,164.95,68.56,79.08,3
T298,5105,0.53,3.23,865,Medium,Data,46.64,182.7,71.43,8
T299,11970,0.87,5.23,626,High,Compute,148.81,134.46,17.15,2
T300,18006,0.85,4.28,706,High,Compute,12.79,125.82,49.46,5
T301,14411,0.76,3.72,875,High,Compute,84.76,47.15,77.08,3
T302,3484,0.49,4.19,1358,Medium,Data,26.6,164.56,60.01,7
T303,10285,0.76,2.95,867,High,Compute,28.18,154.48,53.1,2
T304,9529,0.4,4.43,1058,Medium,Data,194.91,118.37,72.74,7
T305,2898,0.5,0.85,228,High,Latency,124.66,95.56,27.11,1
T306,8612,0.82,6.92,659,High,Compute,143.27,121.73,63.22,2
T307,9509,0.33,4.53,1323,Medium,Data,118.51,177.35,18.97,9
T308,6958,0.59,2.67,1332,Medium,Data,161.24,26.95,19.82,6
T309,4283,0.6,4.92,1370,Medium,Data,86.87,71.24,58.2,6
T310,16004,0.77,5.16,781,High,Compute,84.16,111.53,76.41,5
T311,8226,0.66,7.15,771,High,Compute,135.81,85.28,12.36,3
T312,1645,0.41,1.29,312,High,Latency,39.55,37.57,34.84,8
T313,17346,0.86,5.15,676,High,Compute,132.71,24.72,6.53,4
T314,17433,0.63,3.44,945,High,Compute,50.48,49.42,68.93,5
T315,13433,0.78,4.61,672,High,Compute,199.6,111.07,31.27,1
T316,2674,0.45,1.13,388,High,Latency,139.73,125.83,79.99,2
T317,14049,0.7,6.12,555,High,Compute,57.81,40.5,26.28,3
T318,5501,0.56,1.91,1439,Medium,Data,16.37,39.21,75.92,5
T319,9659,0.56,1.86,942,Medium,Data,170.37,82.28,24.36,8
T320,14370,0.83,4.45,859,High,Compute,149.08,152.49,52.78,7
T321,8392,0.84,5.99,609,High,Compute,22.15,148.09,12.66,4
T322,7741,0.5,3.24,1402,Medium,Data,188.84,105.55,77.46,4
T323,14701,0.74,7.19,946,High,Compute,158.03,133.4,47.36,7
T324,9142,0.33,2.69,1080,Medium,Data,9.16,39.46,50.7,9
T325,7365,0.58,2.12,882,Medium,Data,30.72,16.7,32.81,1
T326,3946,0.43,2.51,272,High,Latency,179.33,32.09,37.47,7
T327,4134,0.37,2.07,220,High,Latency,144.87,48.0,37.89,4
T328,10990,0.73,3.31,836,High,Compute,132.31,34.5,31.5,9
T329,5512,0.37,1.05,1175,Medium,Data,125.3,124.65,73.22,7
T330,9762,0.67,6.38,440,High,Compute,124.69,128.05,5.63,7
T331,16259,0.86,7.26,997,High,Compute,78.02,152.01,65.03,6
T332,4198,0.39,1.83,161,High,Latency,93.61,51.31,72.08,7
T333,4693,0.43,2.07,1293,Medium,Data,95.61,193.49,25.25,9
T334,2790,0.4,1.13,271,High,Latency,73.37,184.02,32.54,2
T335,10044,0.76,2.2,434,High,Compute,43.47,19.15,62.97,8
T336,1727,0.49,0.56,175,High,Latency,103.23,61.72,7.64,6
T337,3526,0.48,4.57,1404,Medium,Data,110.25,197.96,29.28,6
T338,15986,0.73,6.73,578,High,Compute,108.78,22.64,35.15,7
T339,9478,0.64,3.41,475,High,Compute,58.35,118.46,48.24,9
T340,5901,0.38,2.09,1146,Medium,Data,145.22,27.2,74.49,2
T341,4792,0.38,2.63,1013,Medium,Data,48.93,40.74,33.2,9
T342,18128,0.61,5.62,682,High,Compute,13.3,34.52,10.28,7
T343,11451,0.74,4.7,823,High,Compute,171.57,125.11,58.57,8
T344,4455,0.38,1.83,1452,Medium,Data,35.4,53.76,40.46,2
T345,5096,0.3,1.88,1354,Medium,Data,187.36,74.01,79.81,5
T346,3912,0.3,2.51,291,High,Latency,51.56,177.77,76.34,8
T347,8482,0.31,2.11,1143,Medium,Data,179.55,160.03,77.84,1
T348,12648,0.85,5.19,970,High,Compute,146.51,93.84,67.23,9
T349,6112,0.31,3.7,1293,Medium,Data,96.39,130.73,74.77,4
T350,2356,0.48,0.91,267,High,Latency,85.03,97.22,77.23,3
T351,6403,0.56,3.68,908,Medium,Data,129.72,94.72,8.35,7
T352,6311,0.39,3.87,1049,Medium,Data,20.16,169.05,78.12,4
T353,7954,0.3,3.87,1230,Medium,Data,169.03,133.26,46.44,9
T354,13806,0.86,3.54,723,High,Compute,60.23,149.4,65.0,5
T355,18878,0.8,2.55,811,High,Compute,89.3,136.42,43.44,6
T356,8232,0.32,1.32,1454,Medium,Data,103.2,37.54,67.87,2
T357,8889,0.5,3.71,1249,Medium,Data,174.49,187.26,64.84,6
T358,2996,0.2,2.09,217,High,Latency,114.28,24.0,44.5,3
T359,15718,0.86,6.34,913,High,Compute,126.12,13.68,29.76,9
T360,3386,0.46,1.57,880,Medium,Data,63.55,23.03,73.76,6
T361,7363,0.39,2.94,1156,Medium,Data,172.27,186.88,62.45,3
T362,17342,0.7,6.38,904,High,Compute,64.65,69.83,69.86,6
T363,18516,0.81,4.58,828,High,Compute,178.02,88.45,28.83,2
T364,12020,0.86,5.54,763,High,Compute,82.96,41.84,17.13,2
T365,4474,0.44,3.32,840,Medium,Data,148.09,46.73,23.59,3
T366,3359,0.57,1.05,917,Medium,Data,190.56,132.67,37.53,3
T367,7000,0.46,3.05,1467,Medium,Data,55.98,187.61,34.03,6
T368,6267,0.31,4.05,1358,Medium,Data,107.97,154.73,29.99,9
T369,11273,0.79,5.82,826,High,Compute,185.97,43.23,70.86,4
T370,19738,0.72,3.87,975,High,Compute,57.51,47.72,41.34,3
T371,3929,0.55,3.32,1285,Medium,Data,190.29,30.32,45.93,7
T372,8744,0.34,2.94,1175,Medium,Data,180.96,81.96,4.26,2
T373,4650,0.49,1.46,254,High,Latency,197.61,122.63,14.52,8
T374,12458,0.72,2.96,661,High,Compute,170.97,46.58,36.29,1
T375,3910,0.45,1.52,921,Medium,Data,33.9,92.31,60.49,1
T376,14313,0.71,4.84,600,High,Compute,99.87,168.62,44.04,8
