task_id,arrival_time,task_length_MI,cpu_demand,memory_demand_MB,deadline_ms,qos_level,task_type
53,9883.738380592262,3980,0.7316750625866751,734,3743,High,latency
54,1020.4481074802807,3086,0.14529747363835524,271,3297,Medium,data
55,2088.7675609483467,3367,0.6564374036408841,894,2635,High,data
56,1613.0951788499626,1997,0.7505246602040194,624,2333,Low,compute
57,6531.083254653984,2556,0.2240140405877105,233,1316,High,data
58,2532.916025397821,4150,0.6149662709462922,839,2612,Medium,latency
59,4663.107728563063,138,0.7873101346889791,468,4865,Low,data
60,2444.2559200160276,1488,0.43428718359594787,471,4161,Medium,compute
61,1589.6958364551972,2543,0.9878629094250317,244,1066,High,latency
62,1103.7514116430514,228,0.12864303715364905,850,2793,High,compute
63,6563.295894652734,2197,0.4122379932631185,938,4575,High,compute
64,1381.829513486138,2513,0.9997121815282362,425,518,High,latency
65,1965.8236168005349,1924,0.625572320795691,296,3336,Medium,latency
66,3687.251706609641,4674,0.5125072658536002,1014,1870,Low,data
67,8209.93229847935,1366,0.1775191806726351,928,1335,Medium,latency
68,971.0127579306127,3681,0.4010967111706072,272,2474,Medium,latency
69,8379.449074988039,1306,0.7671275416482192,743,1131,Medium,data
70,960.9840789396306,2148,0.7390019337157059,294,1713,Medium,latency
71,9764.594650133957,286,0.15197174992897408,485,3440,Medium,compute
72,4686.512016477016,127,0.6731476389618885,581,2039,High,compute
73,9767.61088190337,3662,0.13892439974930526,371,1566,Medium,compute
74,6048.455197450459,3038,0.43506044870772087,285,1581,High,data
75,7392.635793983017,2082,0.7357876625293317,331,3064,High,data
76,391.87792254320675,2736,0.7740516644140438,98,713,Low,latency
77,2828.0696257640957,3722,0.2890052948151537,956,3125,Low,compute
78,1201.965612131689,1554,0.3045978896592444,702,2069,High,compute
79,2961.4019752214494,387,0.38590762170073944,895,1273,High,data
80,1187.2771895424405,4954,0.7219055720661991,496,3780,High,data
81,3179.8317939397602,4374,0.9393457336830304,120,2087,Low,data
82,4142.629945146699,3287,0.8048326935290314,916,2313,High,data
83,641.4749634878436,1493,0.5015403882292659,624,4770,Medium,data
84,6924.7211937001985,996,0.795249216544241,474,2358,Medium,data
85,5666.014542065752,1764,0.3412552143776566,191,2276,Low,latency
86,2653.8949093944543,2505,0.22216979101325052,644,1379,Low,compute
87,5232.480534666996,597,0.7363791235210823,423,3582,High,compute
88,939.4051075844168,2253,0.6002066148457398,1022,1860,Low,compute
89,5759.4649555617925,4760,0.3424451437169569,974,733,High,data
90,9292.96197576214,4232,0.6773077553490902,682,2498,Low,compute
91,3185.6895245132364,315,0.7738554179785845,65,2739,High,compute
92,6674.103799636817,2381,0.6112307774837337,573,1670,High,latency
93,1317.9786240439219,1181,0.785651047979313,755,1341,Low,latency
94,7163.272041185655,1223,0.666448297220984,924,2036,Low,data
95,2894.060929472011,2558,0.3883490701956481,574,4839,Medium,data
96,1831.9136200711682,1179,0.2659677644302278,699,1089,Low,latency
97,5865.1293481008315,2973,0.8772022147022729,465,3842,High,data
98,201.0754618749355,566,0.8279734012011025,709,134,Medium,compute
99,8289.40029217363,761,0.11260041818998007,347,4499,Low,compute
100,46.954761925470656,4050,0.5640687998645774,547,4346,Medium,data
101,6778.165367962301,1120,0.22299582694381026,648,514,Low,latency
102,2700.0797319216485,1889,0.648263620758431,465,420,Medium,compute
103,7351.940221225949,1577,0.5758992990131007,396,2562,Low,compute
104,9621.885451174383,2759,0.21091212943306764,535,479,High,latency
105,2487.5314351995803,2144,0.7371473834465609,209,771,High,data
106,5761.573344178369,2523,0.5354931901021295,799,4429,High,compute
107,5920.41931271839,3118,0.33365758768334325,91,3086,Medium,data
108,5722.519057908734,371,0.3215854356195529,81,4592,High,latency
109,2230.816326406183,3835,0.38901869861048655,432,3190,Low,latency
110,9527.49011516985,802,0.6207537542664576,517,401,Medium,data
111,4471.253786176274,3715,0.12592604630206758,581,63,High,data
112,8464.086724711278,2020,0.6097212145972439,798,1466,Medium,compute
113,6994.792753175043,3866,0.47783448122029293,282,2676,Medium,data
114,2974.369508551337,3493,0.11319813038119658,138,3423,High,latency
115,8137.978197024772,4556,0.7083034876785596,352,1475,Low,data
116,3965.0574084698465,1420,0.5068722462151249,734,561,Low,compute
117,8811.031971111615,4831,0.677718834112867,606,3095,Medium,compute
118,5812.728726358587,3199,0.5123458272070824,191,928,Low,latency
119,8817.353618548528,1847,0.977399340595946,860,1642,High,compute
120,6925.3159007776585,1264,0.4440118442961335,849,488,Medium,data
121,7252.542798196405,2489,0.9226561998239485,152,1478,Medium,data
122,5013.243819267022,2973,0.3147215450230522,184,2156,Low,data
123,9560.836347232238,4091,0.7445832323570771,798,3973,High,latency
124,6439.901992296374,2573,0.31780942608916574,506,2913,Medium,data
125,4238.550485581797,1797,0.6767065017062385,1023,2513,High,latency
126,6063.932141279243,3328,0.7387005043059733,739,1925,Medium,latency
127,191.93198309333525,2064,0.4257981172689148,793,867,High,compute
128,3015.748166745493,2874,0.9653319514422519,222,645,Low,compute
129,6601.73537492685,4271,0.5331793839534362,492,3205,Medium,compute
130,2900.7760721044406,1510,0.9626231825459909,501,4089,High,latency
131,6180.154289988415,791,0.19704873321991928,426,4738,High,latency
132,4287.687009457662,4031,0.4258522818089444,476,324,Low,compute
133,1354.7406422245024,2890,0.5152855212764125,252,4847,Low,compute
134,2982.8232595603076,590,0.4482782374442946,632,3330,Medium,data
135,5699.6491070126485,3422,0.5820456044635204,198,2640,High,latency
136,5908.727612481733,1979,0.2007232536188619,442,4658,Low,latency
137,5743.252488495788,3237,0.10087337582009548,334,630,High,data
138,6532.008198571336,3620,0.30637696639423445,231,3543,High,compute
139,6521.032700016889,3162,0.9540587437020795,258,3365,Medium,latency
140,4314.18435433974,720,0.8197075713995717,461,4507,Medium,compute
141,8965.46595851063,803,0.7016082793854627,556,3767,High,compute
142,3675.6187004789654,1864,0.4738717330644935,492,3888,Low,compute
143,4358.649252656268,4477,0.3208690704535564,469,3846,Low,latency
144,8919.233550156721,2049,0.5971101547537933,671,3506,Low,latency
145,8061.939890460858,2203,0.6258779517149172,714,4040,High,compute
146,7038.885835403663,4398,0.5715121554055088,819,554,Medium,latency
147,1002.2688731230112,2042,0.4285498802751496,691,922,High,data
148,9194.826137446735,1369,0.523628290578674,870,1680,High,latency
149,7142.412995491114,4391,0.7625018679673323,752,3392,Low,latency
150,9988.470065678664,584,0.7466274341508361,167,1255,High,compute
151,1494.4830465799375,3671,0.1108999736484795,203,808,High,data
152,8681.260573682142,3596,0.6327876640724273,204,666,High,latency
153,1624.9293467637483,2892,0.773912853870563,1011,2171,Medium,latency
154,6155.595642838442,851,0.9399349302447367,1021,1488,High,latency
155,1238.1998284944152,1442,0.9323746247681735,146,4462,Medium,latency
156,8480.082293222344,3864,0.7608669432780654,254,3091,High,compute
157,8073.189587250107,2275,0.5724980369709004,748,1955,High,latency
158,5691.007386145933,181,0.12029948806452569,142,1394,Medium,compute
159,4071.8329722599965,3085,0.4715273181089553,371,582,Medium,latency
160,691.6699545513804,625,0.8815057016141202,504,3629,Medium,compute
161,6974.287731445636,798,0.9926091222341323,893,4298,Medium,data
162,4535.426826780688,4384,0.4466499447817647,121,2512,Low,latency
163,7220.555994703479,4031,0.18518194194640708,247,4324,High,latency
164,8663.823259286291,199,0.7597031050204233,62,1765,Low,data
165,9755.215050028859,4643,0.9538132742353622,82,745,Medium,latency
166,8558.03342392611,1309,0.691837815595908,140,135,Low,compute
167,117.14084185001971,1798,0.5226877844353143,801,4481,Medium,data
168,3599.7806447836388,1067,0.5924094294253169,754,4930,High,data
169,7299.90562424058,4097,0.3913611730840135,647,639,Low,compute
170,1716.2967726144052,915,0.33138661554163584,895,419,High,data
171,5210.366062041293,784,0.28249622373718153,344,3598,High,latency
172,543.3798833925363,2638,0.4602497458647501,330,1788,Medium,latency
173,1999.9652489640007,862,0.6905901555828244,420,4408,High,latency
174,185.21794460613972,2069,0.9498692348598947,480,2445,High,compute
175,7936.977033574206,876,0.9054282470536144,151,3624,Low,compute
176,2239.2468806038014,1581,0.8446641239829644,635,1487,Medium,compute
177,3453.516806969027,4928,0.8394454926034007,593,2236,Low,compute
178,9280.812934655909,1345,0.6975186930356555,739,2937,Low,latency
179,7044.1440192353275,388,0.15346562008768175,54,3006,Medium,compute
180,318.3892953130785,3540,0.8928366569387928,397,3024,Low,latency
181,1646.9415649791274,1755,0.6559427029242847,751,2785,Medium,data
182,6214.7840149976355,740,0.7818068229772142,78,1374,Medium,data
183,5772.285886041676,142,0.8426594386035285,898,2723,Low,compute
184,2378.9282137450864,2139,0.7535508468090553,742,994,Medium,latency
185,9342.139979247937,3460,0.7347085455380756,713,1647,Low,data
186,6139.65955965896,353,0.8256257528982199,389,103,Medium,latency
187,5356.328030249583,1087,0.5697335610990101,417,2307,Low,compute
188,5899.09976354571,1289,0.4718353274903644,250,1158,Low,compute
189,7301.220295167696,1742,0.6121641048820841,418,394,High,data
190,3119.4499547960186,3296,0.9192111957707919,582,2528,Medium,data
191,3982.210622160919,969,0.12419100344536121,357,158,Medium,compute
192,2098.4374897512216,2636,0.23961937498942903,809,1505,High,compute
193,1861.9300588033616,4472,0.2991359744820465,303,2291,High,latency
194,9443.723899839335,1260,0.8000014041954282,607,903,Low,data
195,7395.507950492875,1522,0.644260528528558,540,396,Medium,compute
196,4904.5880861756705,2583,0.6031273645382215,586,587,Low,data
197,2274.1462797332324,2543,0.8867561037010504,750,487,High,compute
198,2543.5648177039293,532,0.9702145666967794,677,1000,High,compute
199,580.2916032387561,3055,0.41857542584530405,328,379,Low,data
200,4344.166255581208,3802,0.7532165139953495,581,3890,High,compute
201,3117.958819941026,3623,0.8316306305219422,461,4035,High,latency
202,6963.434888154595,2480,0.22609071214611048,436,1614,High,latency
203,3777.518392924809,2961,0.9494384190051407,687,2396,Medium,latency
204,1796.036775596348,1779,0.6621175932100435,868,2443,Medium,compute
205,246.78728391331228,4213,0.9549068454894,902,4427,High,data
206,672.4963146324858,3249,0.6761500114478113,255,1450,Low,data
207,6793.927734985673,4551,0.3764860277408387,981,4009,Low,data
208,4536.968445560453,3245,0.8900233312488276,939,374,Medium,data
209,5365.792111087222,3371,0.32344585454791885,344,4132,Low,latency
210,8966.71293040342,600,0.699069030757732,735,1262,High,data
211,9903.389473967043,389,0.6739900076606269,210,4626,High,data
212,2168.9698439847393,2948,0.9353258334629534,244,3978,Low,data
213,6630.782031001008,4211,0.9084898088418707,580,2777,Medium,latency
214,2633.2237673715063,4967,0.24036032211400804,267,587,Low,data
215,206.50999465728682,1407,0.11811018970966702,989,4924,Low,latency
216,7583.786538361414,2313,0.1817660673288319,565,814,Low,latency
217,3200.1715082246783,2109,0.524216889636711,197,3938,High,latency
218,3834.63894171898,3219,0.7525513200884991,866,4031,Low,latency
219,5883.171135536058,221,0.6639211259298494,362,87,High,data
220,8310.484552361904,3154,0.3509654904155485,963,2355,High,compute
221,6289.8184359114875,319,0.2890438322125906,838,4667,Medium,data
222,8726.506554473954,1621,0.16749511459428118,474,551,Medium,data
223,2735.4203481563577,1853,0.8583228178066865,98,162,Medium,compute
224,7980.468339125637,2383,0.3298005660170626,1016,2968,Medium,compute
225,1856.3594430595222,1382,0.44443851321010264,322,844,High,compute
226,9527.916569719446,3098,0.843456699429324,243,4910,High,compute
227,6874.882763878153,2006,0.5980034864028739,510,3193,High,data
228,2155.0767711355843,2350,0.2091974574322889,992,3395,Low,compute
229,9473.705904889242,1231,0.7258090853984747,231,4345,Low,latency
230,7308.558067701578,4178,0.3276361675713785,322,4223,Low,latency
231,2539.416425950258,4911,0.21879738101795318,711,2380,Low,compute
232,2133.11977367482,2059,0.10589523443671389,804,2878,Low,latency
233,5182.007139306633,182,0.5744097199021863,383,4337,Medium,data
234,256.62718054531575,1050,0.7535192684330614,564,4913,High,latency
235,2074.700754411094,4769,0.3930056361363117,245,4498,Medium,latency
236,4246.854687515062,412,0.21046593693215662,963,2088,Low,compute
237,3741.6998033422556,212,0.2309732116106986,891,1569,Medium,compute
238,4635.754243648107,3536,0.2828930069903018,617,2536,High,data
239,2776.287062947319,2387,0.1776887018638404,854,901,High,latency
240,5867.843464581688,532,0.32121578930675904,319,607,Low,data
241,8638.556059232315,3748,0.8379150959369019,67,4454,Low,latency
242,1175.318559620331,3719,0.5464773307172226,1007,2740,High,latency
243,5173.791071541142,4021,0.24139303805157464,742,2744,Medium,latency
244,1320.6810634515332,834,0.5926365947152309,430,487,Low,latency
245,7168.596811925937,4487,0.8535860532722583,467,1510,Medium,latency
246,3960.5970280729375,146,0.5908744173006576,1012,1200,High,latency
247,5654.213118585089,4043,0.15092852375379215,327,83,Medium,compute
248,1832.7983621407861,2494,0.7371956998352795,483,1897,Low,latency
249,1448.4775934337724,4528,0.8194265797038452,996,4632,Low,data
250,4880.562806489545,521,0.15412551797858332,288,2593,Medium,compute
251,3556.127378499556,2999,0.9085804662899597,964,955,Low,latency
252,9404.31945252813,682,0.5839657529504433,268,306,High,compute
253,7653.2525380696525,2238,0.7664133997803643,126,208,Medium,data
254,7486.636198505473,4263,0.967022932800905,1010,3601,Low,data
255,9037.197397459335,4862,0.535398038688544,625,2042,High,compute
256,834.2243544201855,3469,0.4074458500890126,551,4949,Medium,data
257,5521.924699224066,680,0.887647704056423,193,3199,Medium,data
258,5844.760689557688,3919,0.6598459752352787,678,2692,Medium,latency
259,9619.363785472291,1966,0.3086935245886761,568,4540,Medium,data
260,2921.4752679254884,967,0.7629510876973558,825,601,Medium,latency
261,2408.2877991544683,4739,0.8442508072728477,357,2868,High,data
262,1002.9394226549781,812,0.512934591647052,150,3951,High,compute
263,164.29629591474205,394,0.2979941106561084,938,2259,Medium,latency
264,9295.293167921905,2935,0.522440818604214,609,1640,Medium,latency
265,6699.1654659091,1444,0.5274328077138927,67,441,High,compute
266,7851.529120231377,3442,0.6504046976617196,440,3449,High,data
267,2817.3010575394906,266,0.2829335319718113,707,4668,Medium,latency
268,5864.101661863267,886,0.8000770256155578,502,3649,High,data
269,639.5526612098113,578,0.61356708843954,65,1232,Low,data
270,4856.275959346229,3965,0.7861403205989277,770,2714,High,data
271,9774.951397444467,447,0.3784822551291327,803,1188,Medium,data
272,8765.052453165908,2317,0.5081049503878685,604,2562,Medium,latency
273,3381.5895183684565,4510,0.8225474768426494,759,4156,High,compute
274,9615.701545414986,1418,0.1807623123107301,766,3500,Low,latency
275,2317.016264712045,3807,0.23944172327235647,517,311,Low,data
276,9493.188224156815,1300,0.6738704637462077,663,2959,Medium,data
277,9413.777047064987,3896,0.2660424175711602,896,130,Low,latency
278,7992.025873523917,3903,0.9694972281554725,520,702,High,data
279,6304.479368667911,1977,0.19960108950930638,284,4158,Low,latency
280,8742.87966624947,3557,0.12220971516498864,247,1061,Low,compute
281,2930.202845077967,2544,0.42310148633725786,243,835,Medium,latency
282,8489.435553129182,325,0.7856920750983059,423,3013,Low,compute
283,6178.766919175238,276,0.6635756954547803,629,4232,High,compute
284,132.3685775889949,4889,0.6401025388391977,1008,754,High,latency
285,3472.335179322196,937,0.5678479353511267,383,3373,High,latency
286,1481.4086094816503,3740,0.6637196814138943,561,4011,High,compute
287,9818.293898182532,897,0.8775936784018598,236,2087,Medium,data
288,4783.703070399881,3302,0.30966771886303857,331,4141,Low,compute
289,4973.913654986627,1505,0.9738960570097891,305,1935,Low,compute
290,6394.725163987236,2438,0.40248779158566006,824,937,Medium,latency
291,3685.8460612961753,4528,0.7336494759312926,192,149,High,latency
292,1369.0027168559893,4144,0.18356115187897448,831,4237,High,compute
293,8221.177331942456,4276,0.16840424451477512,767,3069,Medium,latency
294,1898.4791190275796,2747,0.7805940935104332,434,646,High,compute
295,5113.18982546456,4020,0.671787758433757,1009,4213,Medium,data
296,2243.1702897473924,2167,0.3698182255895883,155,3901,Medium,data
297,978.4448449403404,2630,0.8206234258510094,397,4538,High,data
298,8621.915174216832,4091,0.31567738094461634,656,1844,High,latency
299,9729.194890231303,2512,0.537928058929133,79,593,High,data
300,9608.346580630001,2820,0.12287791385166613,455,4875,Low,latency
301,9065.55499221179,4482,0.6986361385329853,582,3511,High,latency
302,7740.473326986388,263,0.3641305209529304,461,3670,High,compute
303,3331.451520286419,2691,0.11860620346074745,983,2017,Medium,latency
304,811.0138998799677,2317,0.25453102071410505,582,1699,Medium,latency
305,4072.4117141380734,4124,0.8668459969307216,227,1505,Low,data
306,2322.3414217094273,2618,0.21892022983995807,267,1430,High,data
307,1324.8763475798298,867,0.987405700417617,170,2740,Low,latency
308,534.2718178682526,499,0.4414883263414806,679,1118,Medium,data
309,7255.943642105788,515,0.7226380069212607,853,1474,High,compute
310,114.27458625031028,4518,0.8611594517467457,102,114,Medium,compute
311,7705.807485027763,4913,0.98467374808446,158,2341,High,data
312,1469.4664540037506,4206,0.3191557432984157,148,114,Low,data
313,795.2208258675574,884,0.553582470948271,810,2709,Low,latency
314,896.0303423860538,4640,0.5232149127964287,434,4856,High,latency
315,6720.478073539144,2109,0.8575815224408726,130,1933,Low,compute
316,2453.672098528448,2426,0.9262222090105267,843,1362,Medium,latency
317,4205.394666800985,3427,0.5858280067769274,75,625,Medium,data
318,5573.68791323917,4009,0.7709120762031437,403,4165,Medium,data
319,8605.511738287938,3447,0.16776363654534093,736,2400,High,data
320,7270.4426271132825,2730,0.4702905429981916,512,415,Medium,latency
321,2703.2790523871463,2455,0.1714710653386346,868,2900,High,data
322,1314.827992911276,500,0.20044996884619506,285,4283,High,latency
323,553.7432042119794,608,0.9329050349458856,497,4012,High,data
324,3015.9863448094247,582,0.43171266440688305,246,2435,High,compute
325,2621.1814923967822,1306,0.37396058066583204,313,4098,Medium,compute
326,4561.405668004796,2101,0.4420601250115008,60,4976,Medium,data
327,6832.813355476805,2556,0.23886101875416388,85,1918,Medium,data
328,6956.254456388572,2414,0.7559360684845318,996,2507,Low,latency
329,2835.1884658216663,1406,0.6051601807666894,878,2566,Low,data
330,3799.269559001205,3227,0.8432676615574123,251,166,Low,data
331,1811.5096173690304,2395,0.2061615511575765,947,3572,High,data
332,7885.455123065187,3552,0.39295381350765024,552,4758,High,latency
333,568.480764332403,4052,0.8755630310359208,504,3739,High,compute
334,6969.972417249874,1127,0.2798010337203758,575,4310,Low,data
335,7786.953959411034,1314,0.4980725854263772,249,71,Low,data
336,7774.075618487532,3270,0.855369766939175,351,3141,High,latency
337,2594.2256434535493,611,0.8098585424329631,483,303,Low,data
338,3738.1313793256145,3939,0.6710897935498416,204,1824,High,latency
339,5875.99635196389,1717,0.9427590424568261,390,324,Low,data
340,2728.2190242446704,4129,0.7528071076373865,949,4571,High,data
341,3708.527992178887,3065,0.9580408859171861,374,4151,High,data
342,1970.5428018563964,2579,0.14085308092449567,536,2628,Low,data
343,4598.558837560074,1727,0.29693270191655574,724,854,Medium,data
344,446.12301254114084,2226,0.17720161026446193,634,2874,Medium,compute
345,7997.95884570618,4022,0.484551897582604,924,3537,Medium,compute
346,769.5644698663273,4998,0.6793205825939141,693,2781,Medium,data
347,5188.35148831526,3155,0.23949656808971528,242,4553,High,latency
348,3068.1009954519614,3166,0.6596752549797614,816,2743,Low,latency
349,5775.4294883137545,4059,0.7153033559900208,648,3937,Low,data
350,9594.33340833425,1491,0.3555910758773997,563,4067,High,latency
351,6455.702444560038,4143,0.5756757416303121,601,1948,Low,data
352,353.6243575549092,3894,0.9176010848828223,389,3338,Medium,latency
353,4304.0243950806125,2980,0.3420703632033065,227,3628,High,latency
354,5100.168523182502,2570,0.8021000231662332,486,3402,Medium,data
355,5361.77494703452,2193,0.9851911951197562,119,1266,High,data
356,6813.9251060383785,1637,0.7647856484619063,476,1166,Low,data
357,2775.9609773176608,3212,0.19728172475091482,882,4776,Low,latency
358,1288.605654663202,2512,0.11671762078759235,349,960,High,compute
359,3926.7567654709433,1749,0.27721993852685517,476,3435,High,latency
360,9564.057227959489,4548,0.6635031998261117,574,2226,High,compute
361,1871.3089175084474,2340,0.9960580066796969,904,2969,Low,data
362,9039.839549282371,1058,0.4681173986287904,412,2906,High,data
363,5438.059500773264,2651,0.9338075053886721,992,2568,High,compute
364,4569.114216457659,1232,0.17740886604285017,608,4531,High,data
365,8820.414102298895,1350,0.16473605742342218,636,1048,Low,data
366,4586.0396176858585,1110,0.8360768398408799,343,4903,High,latency
367,7241.676366115433,4176,0.7004701081031359,754,4471,High,compute
368,3990.25321703102,2832,0.9607917865850207,805,4140,High,data
369,9040.443929009578,3494,0.28543926764553745,340,2475,High,data
370,6900.250201912274,2678,0.5421333942806975,698,4354,Low,data
371,6996.220542505167,2865,0.30416346759442,130,1352,Low,compute
372,3277.204015571189,601,0.6934361385529725,112,1281,Medium,data
373,7567.786427368892,4396,0.8910855087338531,384,1170,High,compute
374,6360.610554471413,4712,0.4709413692021128,456,4385,Medium,latency
375,2400.2027337970953,3053,0.61811857362262,151,1014,Medium,data
376,1605.3882248525642,676,0.16906123762773417,613,392,Medium,data
377,7963.914745173317,4181,0.6750905503106772,604,4306,Medium,latency
378,9591.666030352226,634,0.8387579432135951,184,294,Low,compute
379,4581.3882726004285,1021,0.9197374694813122,212,3796,Medium,data
380,5909.841653236849,639,0.592408341302632,569,3365,High,data
381,8577.226441935545,2805,0.33050691514268915,968,3612,Low,data
382,4572.234533538571,4897,0.7624513765911589,634,3797,Low,compute
383,9518.744768327362,3870,0.6528319532269347,571,3710,Medium,data
384,5757.511620448724,218,0.6052386754096656,313,3659,Low,latency
385,8207.671207013149,3290,0.5791788871754926,361,4937,Medium,compute
386,9088.437184127384,1231,0.9290372334261301,912,366,Medium,data
387,8155.238187685688,1448,0.5425499760792427,794,1010,High,compute
388,1594.1446344895594,2976,0.8899982252701903,68,3601,Low,data
389,6288.984390617004,4340,0.33538142050301256,574,4172,Low,compute
390,3984.3425861967708,1604,0.6104213473316711,241,348,Medium,data
391,627.129520233457,960,0.8925194699339852,282,502,Medium,latency
392,4240.32251889842,366,0.55529550478046,462,2274,High,compute
393,2586.840668894077,2263,0.8370297688444778,89,945,Medium,latency
394,8490.383084285108,399,0.700493952017348,241,2229,High,data
395,333.0462654669619,542,0.9152849968586934,932,4921,High,compute
396,9589.827218634735,2127,0.7868899597046053,700,2504,Medium,compute
397,3553.6884847192964,2794,0.3872730008159184,756,4379,Low,latency
398,3567.0689040254288,3278,0.7711379382069818,405,3518,High,data
399,163.2850268370789,618,0.7528051984690074,116,2951,High,data
400,1852.3232523618394,576,0.6430579125936372,555,2458,High,data
401,4012.595008036087,2189,0.5830831084389672,270,1555,Low,latency
402,9292.914173027139,1864,0.45860553791881886,408,1595,Medium,data
403,996.1493022127132,2826,0.8573166054533768,67,4306,Low,compute
404,9453.015334790794,853,0.3099704614327097,972,2137,Medium,latency
405,8694.885305466321,4309,0.3056695210330232,614,660,Medium,data
406,4541.623969075517,1081,0.958942099070445,732,1712,High,data
407,3267.0088176826007,882,0.10577268273275688,972,1161,High,data
408,2327.4412927905687,4512,0.6924916150232924,101,550,Medium,latency
409,6144.647064768744,4978,0.5338428690876148,764,3101,Low,data
410,330.7459147550562,1285,0.3067096985310643,206,2690,Medium,compute
411,156.06064446828216,2969,0.742175489006722,783,4378,Low,latency
412,4287.957224982379,1528,0.25067213949720896,152,1947,High,compute
413,680.740739747202,2130,0.5396554275492171,619,966,Low,data
414,2519.409882460929,3508,0.690570819982439,654,2081,Low,latency
415,2211.6091534608386,4290,0.45150668944312666,376,2211,Medium,latency
416,2531.911937228519,982,0.8797474717905688,384,958,High,data
417,1310.5523121525775,3065,0.44585421430953565,301,419,Low,compute
418,120.3622289765427,3947,0.16141363954956747,506,964,Low,latency
419,1154.842971387481,3990,0.8000002142601069,976,294,High,latency
420,6184.8025951274785,285,0.165437314726249,569,3838,Low,latency
421,9742.562128180503,1797,0.14133712734941756,518,4800,High,data
422,9903.45001560894,4453,0.3214042536083793,908,1562,Medium,data
423,4090.540953730616,3116,0.4475438243239711,271,2274,Medium,latency
424,1629.5442604660536,3561,0.8237850760849799,508,1926,High,data
425,6387.617573665293,4863,0.6269046057794507,814,808,Low,data
426,4903.053465487372,4346,0.4095000648249494,728,3588,Medium,data
427,9894.097772844314,1895,0.8051623479084357,73,3352,Low,data
428,653.042071517802,927,0.2029992450253737,522,811,High,compute
429,7832.344383138131,3347,0.2814694189281871,867,606,Low,latency
430,2883.984973314939,3996,0.36546801958657926,654,84,High,compute
